sequence      ,obj,  J&F,    J,    F
Global score  ,   , 90.9, 91.0, 90.8
breakdance    ,255, 94.1, 92.9, 95.3
camel         ,255, 97.9, 96.7, 99.2
car-roundabout,255, 97.7, 98.5, 96.9
cows          ,255, 97.9, 96.7, 99.2
drift-straight,255, 94.9, 94.9, 94.9
horsejump-high,255, 87.0, 82.4, 91.7
kite-surf     ,255, 64.8, 71.8, 57.9
libby         ,255, 94.5, 90.8, 98.1
motocross-jump,255, 86.6, 91.7, 81.5
soapbox       ,255, 93.7, 94.3, 93.0
